nohup: ignoring input
phoenix-srun: job 4931560 queued and waiting for resources
phoenix-srun: job 4931560 has been allocated resources
phoenix-srun: Job 4931560 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.42s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.49s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.51s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.08s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.23s/it]
======================================== Config ========================================
lora: 
    enable: false,
    r: 8,
    a: 16,
    dropout: 0
========================================================================================
[33mcorpus: [39;49;00m[32m[Kdata/slimpajama/arxiv.json:	1000/1000[39;49;00m
[33mBase GPU memory allocated:[39;49;00m[32m15316 MB[39;49;00m
/mnt/petrelfs/lijie/miniconda3/envs/llava/lib/python3.10/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='none' instead.
  warnings.warn(warning.format(ret))
step-1     | loss: 1.172 | avg time: 3.356 | max memory: 31228.685 | seq len:       7169
step-2     | loss: 1.555 | avg time: 2.174 | max memory: 31228.685 | seq len:       6937
step-3     | loss: 1.586 | avg time: 2.174 | max memory: 31228.685 | seq len:       7304
step-4     | loss: 8.125 | avg time: 1.972 | max memory: 31228.685 | seq len:       6986
step-5     | loss: 7.844 | avg time: 1.972 | max memory: 31228.685 | seq len:       7720
step-6     | loss: 40.000 | avg time: 1.972 | max memory: 31228.685 | seq len:       7446
step-7     | loss: 50.500 | avg time: 1.972 | max memory: 31228.685 | seq len:       7466
step-8     | loss: 11.750 | avg time: 1.972 | max memory: 31228.685 | seq len:       7767
step-9     | loss: 12.938 | avg time: 1.792 | max memory: 31228.685 | seq len:       7519
step-10    | loss: 22.125 | avg time: 1.792 | max memory: 31228.685 | seq len:       7356
step-11    | loss: 14.625 | avg time: 1.792 | max memory: 31228.685 | seq len:       7227
step-12    | loss: 16.750 | avg time: 1.792 | max memory: 31228.685 | seq len:       7239
step-13    | loss: 17.500 | avg time: 1.792 | max memory: 31228.685 | seq len:       7337
step-14    | loss: 21.375 | avg time: 0.182 | max memory: 31228.685 | seq len:       6828
step-15    | loss: 14.688 | avg time: 0.182 | max memory: 31228.685 | seq len:       6928
step-16    | loss: 18.375 | avg time: 0.182 | max memory: 31228.685 | seq len:       6958
step-17    | loss: 16.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7007
step-18    | loss: 14.188 | avg time: 0.182 | max memory: 31228.685 | seq len:       6970
step-19    | loss: 10.750 | avg time: 0.182 | max memory: 31228.685 | seq len:       7057
step-20    | loss: 13.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7026
step-21    | loss: 12.375 | avg time: 0.182 | max memory: 31228.685 | seq len:       7104
step-22    | loss: 10.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7113
step-23    | loss: 10.688 | avg time: 0.182 | max memory: 31228.685 | seq len:       7110
step-24    | loss: 11.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7198
step-25    | loss: 11.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7146
step-26    | loss: 10.125 | avg time: 0.182 | max memory: 31228.685 | seq len:       7163
step-27    | loss: 10.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7118
step-28    | loss: 10.625 | avg time: 0.182 | max memory: 31228.685 | seq len:       7066
step-29    | loss: 10.250 | avg time: 0.182 | max memory: 31228.685 | seq len:       7127
step-30    | loss: 11.312 | avg time: 0.182 | max memory: 31228.685 | seq len:       7091
step-31    | loss: 9.812 | avg time: 0.182 | max memory: 31228.685 | seq len:       7161
step-32    | loss: 9.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7131
step-33    | loss: 8.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7202
step-34    | loss: 9.625 | avg time: 0.182 | max memory: 31228.685 | seq len:       7215
step-35    | loss: 9.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7207
step-36    | loss: 9.625 | avg time: 0.182 | max memory: 31228.685 | seq len:       7188
step-37    | loss: 8.875 | avg time: 0.182 | max memory: 31228.685 | seq len:       7252
step-38    | loss: 10.000 | avg time: 0.182 | max memory: 31228.685 | seq len:       7206
step-39    | loss: 9.000 | avg time: 0.182 | max memory: 31228.685 | seq len:       7200
step-40    | loss: 8.938 | avg time: 0.182 | max memory: 31228.685 | seq len:       7215
